id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
artificial-intelligence,人工智慧,人工智能,人工智能,AI,0.95,mainland-term,台灣AI技術標準,tech,exact,,,,true
machine-learning,機器學習,机器学习,機器學習,machine learning,0.90,mainland-term,台灣AI技術標準,tech,exact,,,,true
deep-learning,深度學習,深度学习,深度學習,deep learning,0.90,mainland-term,台灣AI技術標準,tech,exact,,,,true
neural-network,神經網路,神经网络,神經網絡,neural network,0.90,mainland-term,台灣AI架構標準,tech,exact,,,,true
natural-language-processing,自然語言處理,自然语言处理,自然語言處理,NLP,0.90,mainland-term,台灣AI應用標準,tech,exact,,,,true
computer-vision,電腦視覺,计算机视觉,計算機視覺,computer vision,0.90,mainland-term,台灣AI應用標準,tech,exact,,,,true
reinforcement-learning,強化學習,强化学习,強化學習,reinforcement learning,0.90,mainland-term,台灣AI學習方法,tech,exact,,,,true
supervised-learning,監督式學習,监督学习,監督學習,supervised learning,0.90,mainland-term,台灣AI學習方法,tech,exact,,,,true
unsupervised-learning,非監督式學習,无监督学习,無監督學習,unsupervised learning,0.90,mainland-term,台灣AI學習方法,tech,exact,,,,true
semi-supervised,半監督式,半监督,半監督,semi-supervised,0.90,mainland-term,台灣AI學習方法,tech,exact,,,,true
transfer-learning,遷移學習,迁移学习,遷移學習,transfer learning,0.90,mainland-term,台灣AI技術方法,tech,exact,,,,true
dataset,資料集,数据集,數據集,dataset,0.90,mainland-term,台灣AI資料標準,tech,exact,,,,true
training-data,訓練資料,训练数据,訓練數據,training data,0.90,mainland-term,台灣AI資料類型,tech,exact,,,,true
validation-data,驗證資料,验证数据,驗證數據,validation data,0.90,mainland-term,台灣AI資料類型,tech,exact,,,,true
test-data,測試資料,测试数据,測試數據,test data,0.90,mainland-term,台灣AI資料類型,tech,exact,,,,true
overfitting,過度擬合,过拟合,過擬合,overfitting,0.90,mainland-term,台灣AI模型問題,tech,exact,,,,true
underfitting,欠擬合,欠拟合,欠擬合,underfitting,0.90,mainland-term,台灣AI模型問題,tech,exact,,,,true
gradient-descent,梯度下降,梯度下降,梯度下降,gradient descent,0.85,mainland-term,台灣AI優化方法,tech,exact,,,,true
backpropagation,反向傳播,反向传播,反向傳播,backpropagation,0.90,mainland-term,台灣AI訓練方法,tech,exact,,,,true
activation-function,激活函數,激活函数,激活函數,activation function,0.90,mainland-term,台灣神經網路元件,tech,exact,,,,true
convolutional-neural-network,卷積神經網路,卷积神经网络,卷積神經網絡,CNN,0.90,mainland-term,台灣深度學習架構,tech,exact,,,,true
recurrent-neural-network,遞迴神經網路,循环神经网络,循環神經網絡,RNN,0.90,mainland-term,台灣深度學習架構,tech,exact,,,,true
transformer,轉換器,变换器,變換器,transformer,0.85,mainland-term,台灣深度學習架構,tech,exact,,,,true
attention-mechanism,注意力機制,注意力机制,注意力機制,attention mechanism,0.90,mainland-term,台灣深度學習技術,tech,exact,,,,true
generative-ai,生成式AI,生成式AI,生成式AI,generative AI,0.85,mainland-term,台灣AI應用類型,tech,exact,,,,true
large-language-model,大型語言模型,大语言模型,大語言模型,LLM,0.90,mainland-term,台灣AI模型類型,tech,exact,,,,true
prompt-engineering,提示工程,提示工程,提示工程,prompt engineering,0.85,mainland-term,台灣AI互動技術,tech,exact,,,,true
fine-tuning,微調,微调,微調,fine-tuning,0.85,mainland-term,台灣AI模型優化,tech,exact,,,,true
embedding,嵌入,嵌入,嵌入,embedding,0.85,mainland-term,台灣AI表示方法,tech,exact,,,,true
tokenization,分詞,分词,分詞,tokenization,0.90,mainland-term,台灣NLP處理技術,tech,exact,,,,true
chatgpt,ChatGPT,ChatGPT,ChatGPT,ChatGPT,0.80,mainland-term,台灣AI應用產品,tech,exact,,,,true
gpt,GPT,GPT,GPT,GPT,0.80,mainland-term,台灣AI模型名稱,tech,exact,,,,true
bert,BERT,BERT,BERT,BERT,0.80,mainland-term,台灣AI模型名稱,tech,exact,,,,true
gan,生成對抗網路,生成对抗网络,生成對抗網絡,GAN,0.90,mainland-term,台灣生成式AI技術,tech,exact,,,,true
diffusion-model,擴散模型,扩散模型,擴散模型,diffusion model,0.90,mainland-term,台灣生成式AI技術,tech,exact,,,,true
ai-ethics,AI倫理,AI伦理,AI倫理,AI ethics,0.85,mainland-term,台灣AI治理標準,tech,exact,,,,true
bias-ai,偏見,偏见,偏見,bias,0.85,mainland-term,台灣AI公平性議題,tech,exact,,,,true
explainable-ai,可解釋AI,可解释AI,可解釋AI,explainable AI,0.90,mainland-term,台灣AI透明度標準,tech,exact,,,,true
blockchain,區塊鏈,区块链,區塊鏈,blockchain,0.90,mainland-term,台灣分散式技術,tech,exact,,,,true
cryptocurrency,加密貨幣,加密货币,加密貨幣,cryptocurrency,0.90,mainland-term,台灣數位資產標準,tech,exact,,,,true
bitcoin,比特幣,比特币,比特幣,Bitcoin,0.90,mainland-term,台灣加密貨幣名稱,tech,exact,,,,true
ethereum,以太坊,以太坊,以太坊,Ethereum,0.85,mainland-term,台灣區塊鏈平台,tech,exact,,,,true
smart-contract,智慧合約,智能合约,智能合約,smart contract,0.90,mainland-term,台灣區塊鏈應用,tech,exact,,,,true
consensus-algorithm,共識演算法,共识算法,共識算法,consensus algorithm,0.90,mainland-term,台灣區塊鏈技術,tech,exact,,,,true
proof-of-work,工作量證明,工作量证明,工作量證明,PoW,0.90,mainland-term,台灣共識機制類型,tech,exact,,,,true
proof-of-stake,權益證明,权益证明,權益證明,PoS,0.90,mainland-term,台灣共識機制類型,tech,exact,,,,true
distributed-ledger,分散式帳本,分布式账本,分布式賬本,distributed ledger,0.90,mainland-term,台灣區塊鏈架構,tech,exact,,,,true
hash-function,雜湊函數,哈希函数,哈希函數,hash function,0.90,mainland-term,台灣密碼學技術,tech,exact,,,,true
mining,挖礦,挖矿,挖礦,mining,0.85,mainland-term,台灣區塊鏈運作,tech,exact,,,,true
wallet,錢包,钱包,錢包,wallet,0.85,mainland-term,台灣數位資產管理,tech,exact,,,,true
nft,非同質化代幣,非同质化代币,非同質化代幣,NFT,0.90,mainland-term,台灣數位資產類型,tech,exact,,,,true
defi,去中心化金融,去中心化金融,去中心化金融,DeFi,0.85,mainland-term,台灣區塊鏈金融,tech,exact,,,,true
dao,去中心化自治組織,去中心化自治组织,去中心化自治組織,DAO,0.90,mainland-term,台灣區塊鏈組織,tech,exact,,,,true
metaverse,元宇宙,元宇宙,元宇宙,metaverse,0.85,mainland-term,台灣虛擬世界概念,tech,exact,,,,true
virtual-reality,虛擬實境,虚拟现实,虛擬現實,VR,0.90,mainland-term,台灣沉浸式技術,tech,exact,,,,true
augmented-reality,擴增實境,增强现实,增強現實,AR,0.90,mainland-term,台灣混合實境技術,tech,exact,,,,true
mixed-reality,混合實境,混合现实,混合現實,MR,0.90,mainland-term,台灣實境技術標準,tech,exact,,,,true
