id,taiwan,china_simplified,china_traditional,english,confidence,category,reason,domain,match_type,context_before,context_after,context_exclude,autofix_safe
social-media,社群媒體,社交媒体,社交媒體,social media,0.90,mainland-term,台灣網路平台術語,tech,exact,,,,true
social-network,社群網路,社交网络,社交網絡,social network,0.90,mainland-term,台灣網路平台術語,tech,exact,,,,true
post,貼文,帖子,帖子,post,0.90,mainland-term,台灣社群內容術語,tech,exact,,,,true
status,動態,状态,狀態,status,0.85,mainland-term,台灣社群內容術語,tech,exact,,,,true
story,限時動態,故事,故事,story,0.85,mainland-term,台灣社群功能術語,tech,exact,,,,true
feed,動態消息,信息流,信息流,feed,0.85,mainland-term,台灣社群內容術語,tech,exact,,,,true
timeline,時間軸,时间线,時間線,timeline,0.90,mainland-term,台灣社群顯示術語,tech,exact,,,,true
profile,個人檔案,个人资料,個人資料,profile,0.85,mainland-term,台灣社群帳號術語,tech,exact,,,,true
follower,追蹤者,粉丝,粉絲,follower,0.90,mainland-term,台灣社群媒體術語,tech,exact,,,,true
following,追蹤中,关注,關注,following,0.90,mainland-term,台灣社群媒體術語,tech,exact,,,,true
like,按讚,点赞,點讚,like,0.90,mainland-term,台灣社群互動術語,tech,exact,,,,true
comment,留言,评论,評論,comment,0.90,mainland-term,台灣社群互動術語,tech,exact,,,,true
reply,回覆,回复,回復,reply,0.85,mainland-term,台灣社群互動術語,tech,exact,,,,true
repost,轉發,转发,轉發,repost,0.85,mainland-term,台灣社群互動術語,tech,exact,,,,true
retweet,轉推,转推,轉推,retweet,0.85,mainland-term,台灣Twitter術語,tech,exact,,,,true
hashtag,標籤,话题标签,話題標籤,hashtag,0.85,mainland-term,台灣社群分類術語,tech,exact,,,,true
tag,標記,标记,標記,tag,0.85,mainland-term,台灣社群功能術語,tech,exact,,,,true
mention,提及,@,@,mention,0.85,mainland-term,台灣社群互動術語,tech,exact,,,,true
message,訊息,消息,消息,message,0.85,mainland-term,台灣社群通訊術語,tech,exact,,,,true
dm,私訊,私信,私信,DM,0.90,mainland-term,台灣社群通訊術語,tech,exact,,,,true
group-chat,群組聊天,群聊,群聊,group chat,0.90,mainland-term,台灣社群通訊術語,tech,exact,,,,true
broadcast,廣播,广播,廣播,broadcast,0.85,mainland-term,台灣社群傳播術語,tech,exact,,,,true
streaming,串流,流媒体,流媒體,streaming,0.90,mainland-term,台灣數位媒體術語,tech,exact,,,,true
video-call,視訊通話,视频通话,視頻通話,video call,0.90,mainland-term,台灣通訊功能術語,tech,exact,,,,true
voice-call,語音通話,语音通话,語音通話,voice call,0.85,mainland-term,台灣通訊功能術語,tech,exact,,,,true
emoji,表情符號,表情符号,表情符號,emoji,0.85,mainland-term,台灣數位表達術語,tech,exact,,,,true
emoticon,表情符號,表情,表情,emoticon,0.85,mainland-term,台灣數位表達術語,tech,exact,,,,true
sticker,貼圖,贴纸,貼紙,sticker,0.90,mainland-term,台灣數位表達術語,tech,exact,,,,true
